3;5;9;15;75;
expert0;topic5;topic2;topic3;topic4;
expert1;topic5;topic0;
expert2;topic2;topic1;topic6;topic5;topic0;
agent0;topic5;topic2;topic3;topic4;
agent1;topic5;topic0;
agent2;topic2;topic1;topic6;topic5;topic0;
agent3;topic6;topic1;
agent4;topic1;topic3;topic2;topic0;
argument0;topic3;
argument1;topic2;topic5;
argument2;topic4;
argument3;topic0;topic5;
argument4;topic1;topic2;topic5;topic6;
argument5;topic0;
argument6;topic6;
argument7;topic1;
argument8;topic0;topic1;topic2;topic3;
attack0;argument0;argument6;
attack1;argument0;argument7;
attack2;argument1;argument2;
attack3;argument1;argument8;
attack4;argument2;argument7;
attack5;argument3;argument6;
attack6;argument3;argument0;
attack7;argument4;argument3;
attack8;argument5;argument2;
attack9;argument5;argument0;
attack10;argument6;argument4;
attack11;argument7;argument8;
attack12;argument7;argument0;
attack13;argument8;argument7;
attack14;argument8;argument5;
vote0;agent0;attack0;1;
vote1;agent0;attack1;1;
vote2;agent0;attack2;1;
vote3;agent0;attack3;1;
vote4;agent0;attack4;1;
vote5;agent0;attack5;-1;
vote6;agent0;attack6;1;
vote7;agent0;attack7;-1;
vote8;agent0;attack8;1;
vote9;agent0;attack9;1;
vote10;agent0;attack10;1;
vote11;agent0;attack11;-1;
vote12;agent0;attack12;1;
vote13;agent0;attack13;-1;
vote14;agent0;attack14;-1;
vote15;agent1;attack0;1;
vote16;agent1;attack1;1;
vote17;agent1;attack2;-1;
vote18;agent1;attack3;1;
vote19;agent1;attack4;-1;
vote20;agent1;attack5;1;
vote21;agent1;attack6;1;
vote22;agent1;attack7;1;
vote23;agent1;attack8;1;
vote24;agent1;attack9;1;
vote25;agent1;attack10;-1;
vote26;agent1;attack11;-1;
vote27;agent1;attack12;-1;
vote28;agent1;attack13;-1;
vote29;agent1;attack14;-1;
vote30;agent2;attack0;1;
vote31;agent2;attack1;-1;
vote32;agent2;attack2;1;
vote33;agent2;attack3;-1;
vote34;agent2;attack4;1;
vote35;agent2;attack5;1;
vote36;agent2;attack6;1;
vote37;agent2;attack7;1;
vote38;agent2;attack8;1;
vote39;agent2;attack9;1;
vote40;agent2;attack10;1;
vote41;agent2;attack11;1;
vote42;agent2;attack12;-1;
vote43;agent2;attack13;-1;
vote44;agent2;attack14;1;
vote45;agent3;attack0;1;
vote46;agent3;attack1;-1;
vote47;agent3;attack2;-1;
vote48;agent3;attack3;1;
vote49;agent3;attack4;-1;
vote50;agent3;attack5;-1;
vote51;agent3;attack6;-1;
vote52;agent3;attack7;-1;
vote53;agent3;attack8;-1;
vote54;agent3;attack9;-1;
vote55;agent3;attack10;1;
vote56;agent3;attack11;1;
vote57;agent3;attack12;1;
vote58;agent3;attack13;-1;
vote59;agent3;attack14;1;
vote60;agent4;attack0;1;
vote61;agent4;attack1;1;
vote62;agent4;attack2;1;
vote63;agent4;attack3;1;
vote64;agent4;attack4;-1;
vote65;agent4;attack5;1;
vote66;agent4;attack6;1;
vote67;agent4;attack7;1;
vote68;agent4;attack8;-1;
vote69;agent4;attack9;-1;
vote70;agent4;attack10;1;
vote71;agent4;attack11;-1;
vote72;agent4;attack12;1;
vote73;agent4;attack13;1;
vote74;agent4;attack14;1;
